obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
""	"464.7489"	""	"1.2e+05"	E	"104102.0990"	"125613.07"	"3s2.3p5.(2P*<3/2>).4p"	"2[1/2]"	"1"	"3s2.3p5.(2P*<3/2>).9d"	"2[1/2]*"	"1"		"T1164n"	""	
"470.2316"	"470.23164"	"15"	"1.09e+05"	B	"95399.8276"	"116659.9934"	"3s2.3p5.(2P*<1/2>).4s"	"2[1/2]*"	"1"	"3s2.3p5.(2P*<3/2>).5p"	"2[1/2]"	"1"		"T5223"	"L2634"	
""	"474.6821"	""	"3.6e+05"	E	"104102.0990"	"125162.94"	"3s2.3p5.(2P*<3/2>).4p"	"2[1/2]"	"1"	"3s2.3p5.(2P*<3/2>).8d"	"2[1/2]*"	"0"		"T1164n"	""	
""	"475.29388"	""	"4.5e+05"	E	"104102.0990"	"125135.831"	"3s2.3p5.(2P*<3/2>).4p"	"2[1/2]"	"1"	"3s2.3p5.(2P*<3/2>).8d"	"2[1/2]*"	"1"		"T1164n"	""	
""	"476.86729"	""	"8.6e+05"	D	"104102.0990"	"125066.432"	"3s2.3p5.(2P*<3/2>).4p"	"2[1/2]"	"1"	"3s2.3p5.(2P*<1/2>).6d"	"2[3/2]*"	"2"		"T1218n"	""	
""	"479.8742"	""	"8.8e+04"	E	"105462.7596"	"126295.73"	"3s2.3p5.(2P*<3/2>).4p"	"2[5/2]"	"3"	"3s2.3p5.(2P*<3/2>).12d"	"2[7/2]*"	"4"		"T1164n"	""	
""	"483.5970"	""	"9.3e+04"	E	"105462.7596"	"126135.36"	"3s2.3p5.(2P*<3/2>).4p"	"2[5/2]"	"3"	"3s2.3p5.(2P*<3/2>).11d"	"2[7/2]*"	"4"		"T1164n"	""	
""	"483.6697"	""	"1.02e+05"	C	"104102.0990"	"124771.59"	"3s2.3p5.(2P*<3/2>).4p"	"2[1/2]"	"1"	"3s2.3p5.(2P*<3/2>).9s"	"2[3/2]*"	"2"		"T1164n"	""	
""	"487.62607"	""	"7.8e+05"	D	"104102.0990"	"124603.890"	"3s2.3p5.(2P*<3/2>).4p"	"2[1/2]"	"1"	"3s2.3p5.(2P*<3/2>).7d"	"2[3/2]*"	"2"		"T1218n"	""	
""	"488.6290"	""	"1.2e+05"	E	"105462.7596"	"125922.47"	"3s2.3p5.(2P*<3/2>).4p"	"2[5/2]"	"3"	"3s2.3p5.(2P*<3/2>).10d"	"2[7/2]*"	"4"		"T1164n"	""	
