obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"387.048"	"387.04774"	"9"	"7.2e+06"	D	"20335.360"	"46164.644"	"3p6.3d.4s"	"3D"	"1"	"3p6.4s.6f"	"3F*"	"2"		"T539n"	"L6097"	
"387.254"	"387.25403"	"11"	"5.4e+06"	D	"20349.260"	"46164.785"	"3p6.3d.4s"	"3D"	"2"	"3p6.4s.6f"	"3F*"	"3"		"T539n,LS"	"L6097"	
"387.256"	"387.25615"	"11"	"9.8e+05"	D	"20349.260"	"46164.644"	"3p6.3d.4s"	"3D"	"2"	"3p6.4s.6f"	"3F*"	"2"		"T539n,LS"	"L6097"	
"387.578"	"387.57764"	"12"	"7.9e+06"	D	"20371.000"	"46164.971"	"3p6.3d.4s"	"3D"	"3"	"3p6.4s.6f"	"3F*"	"4"		"T539n,LS"	"L6097"	
"387.580"	"387.58043"	"12"	"8.9e+05"	D	"20371.000"	"46164.785"	"3p6.3d.4s"	"3D"	"3"	"3p6.4s.6f"	"3F*"	"3"		"T539n,LS"	"L6097"	
""	"387.58255"	""	"3.5e+04"	E	"20371.000"	"46164.644"	"3p6.3d.4s"	"3D"	"3"	"3p6.4s.6f"	"3F*"	"2"		"T654"	""	
"388.910"	""	"6"	""		""	""	""	""	""	""	""	""		""	"L6097"	
"392.348"	""	"6"	""		""	""	""	""	""	""	""	""		""	"L6097"	
"393.529"	""	"9"	""		""	""	""	""	""	""	""	""		""	"L6097"	
"394.604"	""	"6"	""		""	""	""	""	""	""	""	""		""	"L6097"	
"394.890"	"394.89004"	"15"	"3.34e+06"	C	"15157.901"	"40474.241"	"3p6.4s.4p"	"3P*"	"0"	"3p6.4s.6s"	"3S"	"1"		"T539n,T654n"	"L6097"	
"395.705"	"395.70537"	"17"	"9.8e+06"	C	"15210.063"	"40474.241"	"3p6.4s.4p"	"3P*"	"1"	"3p6.4s.6s"	"3S"	"1"		"T539n,T654n"	"L6097"	
"397.257"	""	"8"	""		""	""	""	""	""	""	""	""		""	"L6097"	
"397.371"	"397.37076"	"18"	"1.75e+07"	C	"15315.943"	"40474.241"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4s.6s"	"3S"	"1"		"T539n,T654n"	"L6097"	
""	"409.26318"	""	"1.1e+07"	D	"20335.360"	"44762.620"	"3p6.3d.4s"	"3D"	"1"	"3p6.4s.5f"	"3F*"	"2"		"T539n"	""	
""	"409.49253"	""	"1.2e+07"	D	"20349.260"	"44762.839"	"3p6.3d.4s"	"3D"	"2"	"3p6.4s.5f"	"3F*"	"3"		"T539n"	""	
""	"409.49621"	""	"2.1e+06"	D	"20349.260"	"44762.620"	"3p6.3d.4s"	"3D"	"2"	"3p6.4s.5f"	"3F*"	"2"		"T539n,LS"	""	
"409.853"	"409.85282"	"15"	"1.3e+07"	D	"20371.000"	"44763.118"	"3p6.3d.4s"	"3D"	"3"	"3p6.4s.5f"	"3F*"	"4"		"T539n"	"L6097"	
"409.857"	"409.85751"	"15"	"1.5e+06"	D	"20371.000"	"44762.839"	"3p6.3d.4s"	"3D"	"3"	"3p6.4s.5f"	"3F*"	"3"		"T539n,LS"	"L6097"	
""	"409.86119"	""	"5.8e+04"	E	"20371.000"	"44762.620"	"3p6.3d.4s"	"3D"	"3"	"3p6.4s.5f"	"3F*"	"2"		"T654"	""	
""	"410.85257"	""	"9.0e+07"	D	"21849.634"	"46182.399"	"3p6.3d.4s"	"1D"	"2"	"3p6.4s.6f"	"1F*"	"3"		"T539n"	""	
"422.673"	"422.67276"	"50"	"2.18e+08"	B+	"0.000"	"23652.304"	"3p6.4s2"	"1S"	"0"	"3p6.4s.4p"	"1P*"	"1"		"T876,T1110,T859"	"L6097"	
"424.046"	""	"15"	""		""	""	""	""	""	""	""	""		""	"L6097"	
"428.301"	"428.3011"	"24"	"4.34e+07"	C+	"15210.063"	"38551.558"	"3p6.4s.4p"	"3P*"	"1"	"3p6.4p2"	"3P"	"2"		"T539n,T654n,LS"	"L6097"	
"428.936"	"428.9367"	"22"	"6.0e+07"	C+	"15157.901"	"38464.808"	"3p6.4s.4p"	"3P*"	"0"	"3p6.4p2"	"3P"	"1"		"T539n,T654n,LS"	"L6097"	
"429.899"	"429.8988"	"22"	"4.66e+07"	C+	"15210.063"	"38464.808"	"3p6.4s.4p"	"3P*"	"1"	"3p6.4p2"	"3P"	"1"		"T539n,T654n,LS"	"L6097"	
"430.253"	"430.2528"	"25"	"1.36e+08"	C+	"15315.943"	"38551.558"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4p2"	"3P"	"2"		"T539n,T654n,LS"	"L6097"	
"430.774"	"430.7744"	"23"	"1.99e+08"	C+	"15210.063"	"38417.543"	"3p6.4s.4p"	"3P*"	"1"	"3p6.4p2"	"3P"	"0"		"T539n,T654n,LS"	"L6097"	
"431.865"	"431.8652"	"22"	"7.4e+07"	C+	"15315.943"	"38464.808"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4p2"	"3P"	"1"		"T539n,T654n,LS"	"L6097"	
"435.508"	"435.5079"	"20"	"1.9e+07"	D	"21849.634"	"44804.878"	"3p6.3d.4s"	"1D"	"2"	"3p6.4s.5f"	"1F*"	"3"		"T539n"	"L6097"	
"442.544"	"442.5437"	"25"	"4.98e+07"	C	"15157.901"	"37748.197"	"3p6.4s.4p"	"3P*"	"0"	"3p6.4s.4d"	"3D"	"1"		"T8043"	"L6097"	
"443.496"	"443.4957"	"26"	"6.7e+07"	C	"15210.063"	"37751.867"	"3p6.4s.4p"	"3P*"	"1"	"3p6.4s.4d"	"3D"	"2"		"T8043"	"L6097"	
"443.569"	"443.5679"	"25"	"3.42e+07"	C	"15210.063"	"37748.197"	"3p6.4s.4p"	"3P*"	"1"	"3p6.4s.4d"	"3D"	"1"		"T8043"	"L6097"	
"445.478"	"445.4779"	"30"	"8.7e+07"	C	"15315.943"	"37757.449"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4s.4d"	"3D"	"3"		"T8043"	"L6097"	
"445.589"	"445.5887"	"28"	"2.0e+07"	C	"15315.943"	"37751.867"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4s.4d"	"3D"	"2"		"T8043"	"L6097"	
"445.661"	"445.6616"	"20"	"2.45e+06"	C+	"15315.943"	"37748.197"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4s.4d"	"3D"	"1"		"T539n,T654n,LS"	"L6097"	
"452.694"	"452.6928"	"23"	"4.1e+07"	D	"21849.634"	"43933.477"	"3p6.3d.4s"	"1D"	"2"	"3p6.4s.np"	"w 1P*"	"1"		"T539n"	"L6097"	
"457.855"	"457.8551"	"22"	"1.76e+07"	C	"20335.360"	"42170.214"	"3p6.3d.4s"	"3D"	"1"	"3p6.4s.4f"	"3F*"	"2"		"T539n,LS"	"L6097"	
"458.140"	"458.1395"	"23"	"2.09e+07"	C	"20349.260"	"42170.558"	"3p6.3d.4s"	"3D"	"2"	"3p6.4s.4f"	"3F*"	"3"		"T539n,LS"	"L6097"	
"458.147"	"458.1467"	"23"	"3.5e+06"	D	"20349.260"	"42170.214"	"3p6.3d.4s"	"3D"	"2"	"3p6.4s.4f"	"3F*"	"2"		"T539n,T866,LS"	"L6097"	
"458.587"	"458.5865"	"24"	"2.29e+07"	C	"20371.000"	"42171.026"	"3p6.3d.4s"	"3D"	"3"	"3p6.4s.4f"	"3F*"	"4"		"T539n,LS"	"L6097"	
"458.596"	"458.5964"	"24"	"2.5e+06"	D	"20371.000"	"42170.558"	"3p6.3d.4s"	"3D"	"3"	"3p6.4s.4f"	"3F*"	"3"		"T539n,T866,LS"	"L6097"	
""	"458.6036"	""	"9.8e+04"	E	"20371.000"	"42170.214"	"3p6.3d.4s"	"3D"	"3"	"3p6.4s.4f"	"3F*"	"2"		"T654"	""	
"468.527"	"468.5268"	"20"	"8.0e+06"	D	"23652.304"	"44989.830"	"3p6.4s.4p"	"1P*"	"1"	"3p6.4s.6d"	"1D"	"2"		"T866"	"L6097"	
"487.813"	"487.8126"	"25"	"1.88e+07"	C	"21849.634"	"42343.587"	"3p6.3d.4s"	"1D"	"2"	"3p6.4s.4f"	"1F*"	"3"		"T1338"	"L6097"	
"504.162"	"504.1618"	"23"	"3.3e+07"	D	"21849.634"	"41679.008"	"3p6.3d.4s"	"1D"	"2"	"3p6.4s.6p"	"1P*"	"1"		"T866"	"L6097"	
"518.885"	"518.8844"	"25"	"4.0e+07"	D	"23652.304"	"42919.053"	"3p6.4s.4p"	"1P*"	"1"	"3p6.4s.5d"	"1D"	"2"		"T866"	"L6097"	
""	"526.0387"	""	"6.1e+05"	E	"20335.360"	"39340.080"	"3p6.3d.4s"	"3D"	"1"	"3p6.3d.4p"	"3P*"	"2"		"T866LS"	""	
