obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"587.21450"	"587.21443"	"750"	"6.69e+05"	C+	"150772.1118"	"167796.9475"	"2s2.2p5.(2P*<1/2>).3p"	"2[3/2]"	"1"	"2s2.2p5.(2P*<1/2>).4d"	"2[3/2]*"	"2"		"T6976"	"L4498"	
"587.28275"	"587.28261"	"5000"	"6.07e+06"	C+	"150772.1118"	"167794.9709"	"2s2.2p5.(2P*<1/2>).3p"	"2[3/2]"	"1"	"2s2.2p5.(2P*<1/2>).4d"	"2[5/2]*"	"2"		"T6976"	"L3451"	
"588.18950"	"588.18952"	"10000"	"1.15e+07"	B+	"134041.8400"	"151038.4524"	"2s2.2p5.(2P*<3/2>).3s"	"2[3/2]*"	"2"	"2s2.2p5.(2P*<1/2>).3p"	"2[1/2]"	"1"		"T2733"	"L7292"	
"589.83287"	"589.83291"	"200"	"2.01e+05"	C	"150858.5079"	"167807.7649"	"2s2.2p5.(2P*<1/2>).3p"	"2[3/2]"	"2"	"2s2.2p5.(2P*<1/2>).4d"	"2[3/2]*"	"1"		"T6976"	"L4498"	
"590.20944"	"590.20960"	"30"	"7.35e+05"	C+	"150858.5079"	"167796.9475"	"2s2.2p5.(2P*<1/2>).3p"	"2[3/2]"	"2"	"2s2.2p5.(2P*<1/2>).4d"	"2[3/2]*"	"2"		"T6976"	"L4498"	
"590.24623"	"590.24622"	"500"	"8.56e+06"	C+	"150858.5079"	"167795.8966"	"2s2.2p5.(2P*<1/2>).3p"	"2[3/2]"	"2"	"2s2.2p5.(2P*<1/2>).4d"	"2[5/2]*"	"3"		"T6976"	"L3451"	
"590.27835"	"590.27848"	"50"	"1.25e+06"	C+	"150858.5079"	"167794.9709"	"2s2.2p5.(2P*<1/2>).3p"	"2[3/2]"	"2"	"2s2.2p5.(2P*<1/2>).4d"	"2[5/2]*"	"2"		"T6976"	"L3451"	
"590.64294"	"590.64281"	"500"	"4.51e+06"	C+	"150121.5922"	"167047.6082"	"2s2.2p5.(2P*<3/2>).3p"	"2[3/2]"	"1"	"2s2.2p5.(2P*<3/2>).4d"	"2[5/2]*"	"2"		"T6976"	"L3451"	
"591.3633"	"591.36310"	"2500"	"3.19e+06"	C+	"150121.5922"	"167026.9923"	"2s2.2p5.(2P*<3/2>).3p"	"2[3/2]"	"1"	"2s2.2p5.(2P*<3/2>).4d"	"2[3/2]*"	"1"		"T6976"	"L7292"	
"591.89068"	"591.89059"	"2500"	"2.97e+06"	C+	"150917.4307"	"167807.7649"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"0"	"2s2.2p5.(2P*<1/2>).4d"	"2[3/2]*"	"1"		"T6976"	"L3451"	
"591.90290"	"591.90328"	"80"	"4.15e+05"	C+	"150121.5922"	"167011.5643"	"2s2.2p5.(2P*<3/2>).3p"	"2[3/2]"	"1"	"2s2.2p5.(2P*<3/2>).4d"	"2[3/2]*"	"2"		"T6976"	"L4498"	
"593.44522"	"593.44538"	"750"	"1.08e+06"	C+	"150121.5922"	"166967.6752"	"2s2.2p5.(2P*<3/2>).3p"	"2[3/2]"	"1"	"2s2.2p5.(2P*<3/2>).4d"	"2[1/2]*"	"0"		"T6976"	"L4498"	
"593.93154"	"593.93168"	"500"	"2.00e+05"	B+	"149824.2215"	"166656.5114"	"2s2.2p5.(2P*<3/2>).3p"	"2[5/2]"	"2"	"2s2.2p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"		"T2318"	"L4498"	
"594.48340"	"594.48342"	"5000"	"1.13e+07"	B+	"134041.8400"	"150858.5079"	"2s2.2p5.(2P*<3/2>).3s"	"2[3/2]*"	"2"	"2s2.2p5.(2P*<1/2>).3p"	"2[3/2]"	"2"		"T2733"	"L7292"	
"596.16228"	"596.16222"	"700"	"2.28e+06"	C+	"151038.4524"	"167807.7649"	"2s2.2p5.(2P*<1/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<1/2>).4d"	"2[3/2]*"	"1"		"T6976"	"L3451"	
"596.54710"	"596.54704"	"5000"	"6.41e+06"	C+	"151038.4524"	"167796.9475"	"2s2.2p5.(2P*<1/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<1/2>).4d"	"2[3/2]*"	"2"		"T6976"	"L3451"	
"596.61790"	"596.61741"	"350"	"2.42e+05"	C+	"151038.4524"	"167794.9709"	"2s2.2p5.(2P*<1/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<1/2>).4d"	"2[5/2]*"	"2"		"T6976"	"L4498"	
"597.46273"	"597.46282"	"5000"	"6.06e+06"	C+	"150315.8612"	"167048.6694"	"2s2.2p5.(2P*<3/2>).3p"	"2[3/2]"	"2"	"2s2.2p5.(2P*<3/2>).4d"	"2[5/2]*"	"3"		"T6976"	"L3451"	
"597.55343"	"597.55340"	"6000"	"3.51e+06"	B+	"134041.8400"	"150772.1118"	"2s2.2p5.(2P*<3/2>).3s"	"2[3/2]*"	"2"	"2s2.2p5.(2P*<1/2>).3p"	"2[3/2]"	"1"		"T2733"	"L7292"	
"598.23753"	"598.23783"	"80"	"9.9e+04"	C	"150315.8612"	"167026.9923"	"2s2.2p5.(2P*<3/2>).3p"	"2[3/2]"	"2"	"2s2.2p5.(2P*<3/2>).4d"	"2[3/2]*"	"1"		"T6976"	"L4498"	
"598.79074"	"598.79065"	"1500"	"3.63e+06"	C+	"150315.8612"	"167011.5643"	"2s2.2p5.(2P*<3/2>).3p"	"2[3/2]"	"2"	"2s2.2p5.(2P*<3/2>).4d"	"2[3/2]*"	"2"		"T6976"	"L3451"	
"599.16477"	"599.16502"	"750"	"1.18e+06"	C+	"150315.8612"	"167001.1327"	"2s2.2p5.(2P*<3/2>).3p"	"2[3/2]"	"2"	"2s2.2p5.(2P*<3/2>).4d"	"2[7/2]*"	"3"		"T6976"	"L4498"	
"600.09275"	"600.09258"	"1000"	"1.14e+06"	C+	"150315.8612"	"166975.3424"	"2s2.2p5.(2P*<3/2>).3p"	"2[3/2]"	"2"	"2s2.2p5.(2P*<3/2>).4d"	"2[1/2]*"	"1"		"T6976"	"L3451"	
"602.99968"	"602.99969"	"10000"	"5.61e+06"	B+	"134459.2871"	"151038.4524"	"2s2.2p5.(2P*<3/2>).3s"	"2[3/2]*"	"1"	"2s2.2p5.(2P*<1/2>).3p"	"2[1/2]"	"1"		"T2733"	"L7292"	
"604.2013"	"604.19880"	"150"	"1.56e+05"	C	"152970.7328"	"169516.9948"	"2s2.2p5.(2P*<1/2>).3p"	"2[1/2]"	"0"	"2s2.2p5.(2P*<3/2>).5d"	"2[3/2]*"	"1"		"T6976"	"L3469"	
"604.61348"	"604.61328"	"500"	"2.26e+05"	B+	"150121.5922"	"166656.5114"	"2s2.2p5.(2P*<3/2>).3p"	"2[3/2]"	"1"	"2s2.2p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"		"T2318"	"L3451"	
"606.45359"	"606.45355"	"500"	"1.64e+06"	B+	"150121.5922"	"166606.3370"	"2s2.2p5.(2P*<3/2>).3p"	"2[3/2]"	"1"	"2s2.2p5.(2P*<1/2>).5s"	"2[1/2]*"	"0"		"T2734"	"L3451"	
"607.43376"	"607.43377"	"10000"	"6.03e+07"	B+	"134459.2871"	"150917.4307"	"2s2.2p5.(2P*<3/2>).3s"	"2[3/2]*"	"1"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"0"		"T2733"	"L7292"	
"609.61630"	"609.61631"	"3000"	"1.81e+07"	B+	"134459.2871"	"150858.5079"	"2s2.2p5.(2P*<3/2>).3s"	"2[3/2]*"	"1"	"2s2.2p5.(2P*<1/2>).3p"	"2[3/2]"	"2"		"T2733"	"L7292"	
"611.80187"	"611.80141"	"150"	"6.09e+05"	B+	"150315.8612"	"166656.5114"	"2s2.2p5.(2P*<3/2>).3p"	"2[3/2]"	"2"	"2s2.2p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"		"T2318"	"L4498"	
"612.84498"	"612.84499"	"1000"	"6.70e+05"	B+	"134459.2871"	"150772.1118"	"2s2.2p5.(2P*<3/2>).3s"	"2[3/2]*"	"1"	"2s2.2p5.(2P*<1/2>).3p"	"2[3/2]"	"1"		"T2733"	"L3451"	
"614.2508"	"614.25058"	"1000"	"1.64e+06"	C+	"150772.1118"	"167047.6082"	"2s2.2p5.(2P*<1/2>).3p"	"2[3/2]"	"1"	"2s2.2p5.(2P*<3/2>).4d"	"2[5/2]*"	"2"		"T6976"	"L3469"	
"614.30627"	"614.30626"	"10000"	"2.82e+07"	B+	"134041.8400"	"150315.8612"	"2s2.2p5.(2P*<3/2>).3s"	"2[3/2]*"	"2"	"2s2.2p5.(2P*<3/2>).3p"	"2[3/2]"	"2"		"T2733"	"L7292"	
"615.02985"	"615.02964"	"1000"	"1.33e+06"	C+	"150772.1118"	"167026.9923"	"2s2.2p5.(2P*<1/2>).3p"	"2[3/2]"	"1"	"2s2.2p5.(2P*<3/2>).4d"	"2[3/2]*"	"1"		"T6976"	"L4498"	
"615.61380"	"615.61394"	"500"	"1.72e+05"	C	"150772.1118"	"167011.5643"	"2s2.2p5.(2P*<1/2>).3p"	"2[3/2]"	"1"	"2s2.2p5.(2P*<3/2>).4d"	"2[3/2]*"	"2"		"T6976"	"L4498"	
"616.35937"	"616.35939"	"10000"	"1.46e+07"	B+	"134818.6405"	"151038.4524"	"2s2.2p5.(2P*<1/2>).3s"	"2[1/2]*"	"0"	"2s2.2p5.(2P*<1/2>).3p"	"2[1/2]"	"1"		"T2733"	"L7292"	
"617.28156"	"617.28223"	"150"	"4.27e+05"	C	"150772.1118"	"166967.6752"	"2s2.2p5.(2P*<1/2>).3p"	"2[3/2]"	"1"	"2s2.2p5.(2P*<3/2>).4d"	"2[1/2]*"	"0"		"T6976"	"L4498"	
"617.48829"	"617.48819"	"700"	"7.52e+05"	C+	"150858.5079"	"167048.6694"	"2s2.2p5.(2P*<1/2>).3p"	"2[3/2]"	"2"	"2s2.2p5.(2P*<3/2>).4d"	"2[5/2]*"	"3"		"T6976"	"L3451"	
"617.52842"	"617.52867"	"500"	"3.00e+05"	C+	"150858.5079"	"167047.6082"	"2s2.2p5.(2P*<1/2>).3p"	"2[3/2]"	"2"	"2s2.2p5.(2P*<3/2>).4d"	"2[5/2]*"	"2"		"T6976"	"L4498"	
"618.21460"	"618.21463"	"1500"	"3.72e+06"	B+	"149657.0392"	"165828.1766"	"2s2.2p5.(2P*<3/2>).3p"	"2[5/2]"	"3"	"2s2.2p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"		"T2734"	"L3451"	
"618.31575"	"618.31607"	"50"	"1.18e+05"	C	"150858.5079"	"167026.9923"	"2s2.2p5.(2P*<1/2>).3p"	"2[3/2]"	"2"	"2s2.2p5.(2P*<3/2>).4d"	"2[3/2]*"	"1"		"T6976"	"L4498"	
