obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"416.5101"	"416.5101"	"4"	""		"35051.264"	"59053.52"	"3s.3p"	"1P*"	"1"	"3s.8s"	"1S"	"0"		""	"L6095"	
"416.72712"	"416.72713"	"15"	"1.38e+07"	C+	"35051.264"	"59041.019"	"3s.3p"	"1P*"	"1"	"3s.7d"	"1D"	"2"		"T5539"	"L7428"	
"435.19056"	"435.19057"	"20"	"1.84e+07"	B+	"35051.264"	"58023.246"	"3s.3p"	"1P*"	"1"	"3s.6d"	"1D"	"2"		"T5539"	"L7428"	
"435.4529"	"435.4528"	"6"	""		"35051.264"	"58009.41"	"3s.3p"	"1P*"	"1"	"3s.7s"	"1S"	"0"		""	"L6095"	
"438.0375"	"438.0376"	"6"	""		"35051.264"	"57873.94"	"3s.3p"	"1P*"	"1"	"3p2"	"3P"	"2"		""	"L6095"	
""	"440.9923"	""	"7.68e+05"	D+	"58023.246"	"80693.01"	"3s.6d"	"1D"	"2"	"3p.3d"	"1D*"	"2"		"T6298c72"	""	
""	"456.26017"	""	"3.98e-03"	B+	"0.000"	"21911.178"	"2p6.3s2"	"1S"	"0"	"3s.3p"	"3P*"	"2"	M2	"c43"	""	
"457.10956"	"457.10956"	"28g"	"2.54e+02"	D	"0.000"	"21870.464"	"2p6.3s2"	"1S"	"0"	"3s.3p"	"3P*"	"1"		"c45"	"L7428"	
""	"457.52920"	""	"5.8e-04"	D	"0.000"	"21850.405"	"2p6.3s2"	"1S"	"0"	"3s.3p"	"3P*"	"0"		"T6298c72"	""	
"462.1299"	"462.1301"	"3"	""		"21870.464"	"43503.333"	"3s.3p"	"3P*"	"1"	"3s.4s"	"1S"	"0"		""	"L6095"	
""	"463.0015"	""	"2.04e-03"	B+	"21911.178"	"43503.333"	"3s.3p"	"3P*"	"2"	"3s.4s"	"1S"	"0"	M2	"c43"	""	
"470.29909"	"470.29908"	"30"	"2.19e+07"	B+	"35051.264"	"56308.381"	"3s.3p"	"1P*"	"1"	"3s.5d"	"1D"	"2"		"T5539"	"L7428"	
"473.00285"	"473.00286"	"10"	"1.34e+06"	C+	"35051.264"	"56186.873"	"3s.3p"	"1P*"	"1"	"3s.6s"	"1S"	"0"		"T5539"	"L7428"	
"516.73216"	"516.73213"	"42"	"1.13e+07"	B+	"21850.405"	"41197.403"	"3s.3p"	"3P*"	"0"	"3s.4s"	"3S"	"1"		"c45"	"L7428"	
""	"517.2684"	""	"3.46e-05"	B	"21870.464"	"41197.403"	"3s.3p"	"3P*"	"1"	"3s.4s"	"3S"	"1"	M2	"c43"	""	
"517.26843"	"517.26844"	"44"	"3.37e+07"	B+	"21870.464"	"41197.403"	"3s.3p"	"3P*"	"1"	"3s.4s"	"3S"	"1"		"c45"	"L7428"	
""	"518.3604"	""	"1.02e-04"	B	"21911.178"	"41197.403"	"3s.3p"	"3P*"	"2"	"3s.4s"	"3S"	"1"	M2	"c43"	""	
"518.36042"	"518.36043"	"45"	"5.61e+07"	A	"21911.178"	"41197.403"	"3s.3p"	"3P*"	"2"	"3s.4s"	"3S"	"1"		"c45"	"L7428"	
"534.5977"	"534.5976"	"1d*"	""		"41197.403"	"59897.86"	"3s.4s"	"3S"	"1"	"3s.9p"	"3P*"	"2"		""	"L6095"	
"534.5977"	"534.5976"	"1d*"	""		"41197.403"	"59897.86"	"3s.4s"	"3S"	"1"	"3s.9p"	"3P*"	"1"		""	"L6095"	
"534.5977"	"534.5976"	"1d*"	""		"41197.403"	"59897.86"	"3s.4s"	"3S"	"1"	"3s.9p"	"3P*"	"0"		""	"L6095"	
"550.9597"	"550.9597"	"2d*"	""		"41197.403"	"59342.51"	"3s.4s"	"3S"	"1"	"3s.8p"	"3P*"	"2"		""	"L6095"	
"550.9597"	"550.9597"	"2d*"	""		"41197.403"	"59342.51"	"3s.4s"	"3S"	"1"	"3s.8p"	"3P*"	"0"		""	"L6095"	
"550.9597"	"550.9597"	"2d*"	""		"41197.403"	"59342.51"	"3s.4s"	"3S"	"1"	"3s.8p"	"3P*"	"1"		""	"L6095"	
"552.84047"	"552.84047"	"40"	"1.39e+07"	B+	"35051.264"	"53134.642"	"3s.3p"	"1P*"	"1"	"3s.4d"	"1D"	"2"		"T5539"	"L7428"	
"571.10880"	"571.10880"	"30"	"3.86e+06"	B	"35051.264"	"52556.206"	"3s.3p"	"1P*"	"1"	"3s.5s"	"1S"	"0"		"T5539"	"L7428"	
"578.5312"	"578.5313"	"5"	""		"41197.403"	"58477.760"	"3s.4s"	"3S"	"1"	"3s.7p"	"3P*"	"2"		""	"L6095"	
"578.5560"	"578.5561"	"4"	""		"41197.403"	"58477.020"	"3s.4s"	"3S"	"1"	"3s.7p"	"3P*"	"1"		""	"L6095"	
"631.8716"	"631.8717"	"10"	"2.63e+05"	D+	"41197.403"	"57019.025"	"3s.4s"	"3S"	"1"	"3s.6p"	"3P*"	"2"		"T6298c72,LS"	"L6095"	
"631.9236"	"631.9237"	"9"	"2.64e+05"	D	"41197.403"	"57017.724"	"3s.4s"	"3S"	"1"	"3s.6p"	"3P*"	"1"		"T6298c72,LS"	"L6095"	
"631.9493"	"631.9495"	"7"	"2.63e+05"	E	"41197.403"	"57017.078"	"3s.4s"	"3S"	"1"	"3s.6p"	"3P*"	"0"		"T6298c72,LS"	"L6095"	
"663.0834"	"663.0833"	"2"	""		"43503.333"	"58580.23"	"3s.4s"	"1S"	"0"	"3s.7p"	"1P*"	"1"		""	"L6095"	
"689.4898"	"689.4918"	"4"	""		"46403.065"	"60902.50"	"3s.3d"	"1D"	"2"	"3s.12f"	"1F*"	"3"		""	"L6095"	
